DetectionID,SpeciesID,DetailID,Individuals,Comments,ImageID
1,39,4,1,,1
2,39,4,1,,2
3,11,,1,,3
4,36,,1,,4
5,36,,1,,5
6,39,4,1,,6
7,39,4,1,,7
8,11,,1,,8
9,69,,1,,9
10,3,,1,,10
